Company name,Website,Industry Vertical,Aviation,Automotive,Agriculture,Banking/Finance/Insurance,Construction,Chemicals/Life Sciences,Education,Energy/Utilities,Defense/Security,Government,Health,Hospitality,Logistics,Manufacturing,Media/Entertainment,Public Sector,Retail and eCommerce,Transport,Travel,Telecommunications,BICS Product Area,Personal Contact,Conference,Company Size,North America,LATAM,UK,Europe,MEA,APAC,Annual Revenue,Annual Employee Growth (%),Buyer Interest,Salesforce Status,Lead became Opportunity,Comment
EvolveIP,https://www.evolveip.net/,CCSPs,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,Yes,Yes,Yes,No,106000000,-6,Moderate,Marketing Qualification,No,
Sangoma Corporation,https://www.sangoma.com/,CCSPs,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Numbers and Voice,No,No,201-500,Yes,No,Yes,No,No,No,166400000,17,High,Marketing Qualification,No,
"Computacenter Managed Workplace Services, Europe",https://www.computacenter.com/uk,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Yes,No,10001+,Yes,No,Yes,Yes,Yes,Yes,8200000000,9,Neutral,Marketing Qualification,Yes,
Insight,https://www.insight.com/,System Integrator,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Numbers and Voice,No,No,10001+,Yes,No,Yes,Yes,No,Yes,9900000000,5,Neutral,Marketing Qualification,No,
Ooma Inc.,https://www.ooma.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,197000000,8,Neutral,Marketing Qualification,No,
AVI-SPL,https://avispl.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,No,Yes,No,Yes,No,721300000,12,Neutral,Marketing Qualification,No,
One Ring Networks,https://oneringnetworks.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,21000000,0,Neutral,Marketing Qualification,No,
Metaswitch,https://www.metaswitch.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,Yes,No,No,No,176200000,-5,Neutral,Marketing Qualification,No,
Yeastar,https://www.yeastar.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,Yes,Yes,Yes,34100000,14,Neutral,Marketing Qualification,No,
Taraspan,https://www.taraspan.com/,CCSPs,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,Yes,27300000,7,Neutral,Marketing Qualification,No,
Phone,https://www.phone.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,12400000,16,Neutral,Marketing Qualification,No,
PanTerra,https://www.panterranetworks.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,7900000,0,Neutral,Marketing Qualification,No,
Vertical,https://www.vertical.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,92700000,0,Neutral,Marketing Qualification,No,
Kandy,https://www.kandy.io/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,23300000,4,Neutral,Marketing Qualification,No,
Alvaria,https://www.alvaria.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,Yes,Yes,Yes,No,Yes,975600000,8,Neutral,Marketing Qualification,No,
DXC Technology,https://dxc.com/,CCSPs,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,16300000000,3,Moderate,Marketing Qualification,No,
Aarenet AG,https://www.aarenet.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,Yes,No,Yes,13800000,-5,Neutral,Marketing Qualification,No,
Bicom Systems,https://www.bicomsystems.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,Yes,Yes,No,No,41400000,-7,Neutral,Marketing Qualification,No,
Talkdesk,https://www.talkdesk.com/,CCSPs,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Numbers and Voice,No,No,1001-5000,Yes,Yes,Yes,Yes,No,Yes,420000000,-7,Neutral,,Yes,
LoopUp,http://loopup.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,Yes,Yes,Yes,No,Yes,23900000,-19,Negative,,Yes,
MS INNOVATIONS,http://www.msinnovations.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Messaging,Maybe,Maybe,0-50,No,No,No,Yes,No,No,2600000,-25,Neutral,,Yes,
Amazon - Connect,https://aws.amazon.com/connect/,CCSPs,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,28600000000,25,Moderate,,Yes,"Product offerings: IoT, Numbers, Capacity"
Foehn,https://www.foehn.co.uk/,CCSPs,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Numbers and Voice,Yes,No,51-200,No,No,Yes,No,No,Yes,12500000,105,Neutral,,Yes,
Conacom,https://conacom.net/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,Yes,No,No,3100000,-7,Neutral,,Yes,
Brightlink Solutions,https://nuso.cloud/,CCSPs,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Numbers and Voice,Maybe,No,51-200,Yes,No,No,No,No,No,5000000,15,Neutral,,Yes,"Acquired by NUSO, thus NUSO data"
Avoxi,https://www.avoxi.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Numbers and Voice,Maybe,No,51-200,Yes,Yes,No,No,Yes,No,83100000,13,Neutral,,Yes,
Thrio,http://www.thrio.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,No,0-50,Yes,No,No,No,No,No,6100000,17,Neutral,,Yes,
VoxTelesys,https://voxtelesys.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,Yes,0-50,Yes,No,No,No,No,No,3700000,33,Neutral,,Yes,Another ongoing opp https://mybics.lightning.force.com/lightning/r/Opportunity/0065p0000161Fu6AAE/view
Vonage,https://www.vonage.com/,CCSPs,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Numbers and Voice,Maybe,No,1001-5000,Yes,No,Yes,No,Yes,No,1400000000,3,High,,Yes,
CloudTalk,https://www.cloudtalk.io/,CCSPs,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Numbers and Voice,Maybe,No,201-500,Yes,No,No,Yes,No,No,12500000,42,Neutral,,Yes,Jose Noceda is not in the company anymore
Voip.ms,https://www.voip.ms/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,No,51-200,Yes,No,No,No,No,No,14500000,5,Neutral,,Yes,Justin Bennet
Transcom,https://www.transcom.com/,CCSPs,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Numbers and Voice,Maybe,No,10001+,Yes,Yes,Yes,Yes,No,Yes,621000000,5,Neutral,,Yes,Alexandru Ciubuc
Mapplcom,https://mapplcom.com/,CCSPs,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,MPN,Maybe,No,0-50,No,No,Yes,No,Yes,No,4700000,22,Neutral,,Yes,Telecommunications Service Provider
Ziwo,https://www.ziwo.io/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,No,51-200,No,No,No,Yes,Yes,No,12200000,46,Neutral,,Yes,Pietro Scatigna
ICT Globe,https://ictglobe.com,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,No,51-200,No,No,No,No,Yes,No,15600000,6,Neutral,,Yes,
Voximplant,https://www.voximplant.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Numbers and Voice,Maybe,No,201-500,Yes,Yes,Yes,Yes,No,No,42000000,2,Neutral,,Yes,
Inovo,https://www.inovo.co.za/,CCSPs,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Numbers and Voice,Maybe,No,51-200,No,No,No,No,Yes,No,22400000,3,Neutral,,Yes,
Autodoc,https://autodoc.group/en/about-us,Hardware and Devices,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Numbers and Voice,Maybe,No,1001-5000,No,No,Yes,Yes,No,No,36200000,18,Neutral,,Yes,
Vitovio,https://www.vitovio.com,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,No,0-50,No,No,No,No,No,Yes,3600000,0,Neutral,,Yes,
BEL IP Nexia,https://www.ipnexia.com/fr/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,No,0-50,No,No,No,Yes,No,No,16600000,-11,Neutral,,Yes,Herman De Reu
TCN,https://www.tcn.com/,CCSPs,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Numbers and Voice,Maybe,No,51-200,Yes,Yes,Yes,Yes,No,Yes,36100000,17,Neutral,,Yes,Lynne Weber / Justin Bennett
Zoom Communications,https://explore.zoom.us/,CCSPs,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Numbers and Voice,Maybe,Yes,10001+,Yes,No,Yes,Yes,No,Yes,4300000000,32,Moderate,,Yes,Justin Bennet
Amazon - Chime,https://aws.amazon.com/chime/#,Hyperscalers,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Numbers and Voice,Maybe,No,10001+,Yes,Yes,Yes,Yes,No,Yes,28600000000,43,Moderate,,Yes,Justin Bennet
thinQ,https://www.thinq.com/,CCSPs,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Numbers and Voice,Maybe,Yes,0-50,Yes,Yes,No,Yes,No,No,12500000,-15,Neutral,,Yes,Lynne Weber
Meetyoo,https://www.meetyoo.com/en,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,Yes,51-200,Yes,No,Yes,Yes,No,No,6400000,-30,Neutral,,Yes,Alexandru Ciubuc
United World Telecom,https://www.unitedworldtelecom.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,Yes,0-50,Yes,No,No,No,No,Yes,5600000,16,High,,Yes,Justin Bennet
IP Telecom,https://iptelecom.bg/en/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,Maybe,51-200,No,No,No,Yes,No,No,2300000,7,Neutral,,Yes,
Bright Pattern,https://www.brightpattern.com/,CCSPs,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Numbers and Voice,Maybe,Maybe,51-200,Yes,No,No,No,No,No,16600000,7,Neutral,,Yes,
Dialpad,https://www.dialpad.com/,CCSPs,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Numbers and Voice,Maybe,Maybe,1001-5000,Yes,No,Yes,No,No,Yes,369500000,16,Neutral,,Yes,
STN Nigeria,https://www.swifttelng.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,Maybe,0-50,No,No,No,No,Yes,No,1700000,25,Neutral,,Yes,
Comms Choice,https://www.commsgroup.global,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,Maybe,0-50,Yes,No,Yes,No,No,Yes,7900000,-13,Neutral,,Yes,
TollFreeForwarding,https://tollfreeforwarding.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,Maybe,Maybe,0-50,Yes,No,No,No,No,No,18700000,-9,Neutral,,Yes,
Nexmo,https://www.vonage.com/,CCSPs,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Numbers and Voice,Maybe,Maybe,1001-5000,Yes,No,Yes,No,Yes,No,1400000000,2,High,,Yes,"Acquired by Vonage, thus Vonage data"
ipnordic,https://ipnordic.dk/,CCSPs,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Numbers and Voice,No,No,51-200,No,No,No,Yes,No,No,16500000,0,Neutral,,No,
Selta,https://selta.com/,System Integrator,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Numbers and Voice,No,No,51-200,No,No,No,Yes,No,No,73500000,7,Neutral,,No,
Voipfone,https://www.voipfone.co.uk/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,Yes,No,No,No,7100000,0,Neutral,,No,
Yealink,https://www.yealink.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,No,No,No,No,No,Yes,595300000,13,Neutral,,No,
Glia,https://www.glia.com/,CCSPs,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,21000000,57,Neutral,,No,
Kore.ai,https://kore.ai/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,Yes,No,Yes,No,No,Yes,63000000,48,Neutral,,No,
Core BTS,https://corebts.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,No,No,No,No,No,272500000,1,Neutral,,No,
DHD,https://dhd.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,18800000,34,Neutral,,No,
Sabio,https://sabiogroup.com/,System Integrator,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Numbers and Voice,No,No,501-1000,No,Yes,Yes,Yes,Yes,Yes,81400000,12,Neutral,,No,
Concentrix,https://www.concentrix.com/,System Integrator,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Numbers and Voice,No,No,10001+,Yes,Yes,Yes,Yes,Yes,Yes,5600000000,12,Neutral,,No,
Cloud Infotech,https://www.cloudinfotech.co.in/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,7100000,8,Negative,,No,
Reve Systems,https://www.revesoft.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,No,No,Yes,No,No,Yes,62400000,5,Neutral,,No,
Walkover,https://walkover.in/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,12900000,-13,Neutral,,No,
Orro Group,https://orro.group/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,No,No,No,No,No,Yes,73100000,21,Negative,,No,
iHelpBD,https://ihelpbd.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,No,No,Yes,4800000,13,Negative,,No,
ESi - Expert Systems IVR,https://www.esi-asia.com/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,No,No,Yes,12000000,0,Neutral,,No,
Vogtec,http://www.vogtec.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,No,No,Yes,15000000,6,Neutral,,No,
Ecosmob Technologies,https://www.ecosmob.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,Yes,25000000,42,High,,No,
Alliance Infotech,http://alliance-infotech.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,25300000,-1,Negative,,No,
Toku,https://toku.co/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,6800000,28,High,,No,
StarTele Logic,https://www.startelelogic.com/,CCSPs,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,Yes,5900000,0,Moderate,,No,
SlashRTC,https://www.slashrtc.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,573000000,0,Neutral,,No,
Voitekk Softsol,https://voitekk.com/,CCSPs,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,9700000,3,Neutral,,No,
*astTECS,http://www.asttecs.com/,CCSPs,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Numbers and Voice,Yes,No,51-200,No,No,No,No,No,Yes,22500000,9,Neutral,,No,
Mekari Qontak,https://www.qontak.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,8400000,14,Negative,,No,
Pulse Telesystems,https://www.pulse.in/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,8200000,4,Neutral,,No,
PT Jasnita Telekomindo,https://www.jasnita.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,No,No,Yes,58000000,2,Neutral,,No,
Exotel,https://exotel.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,No,No,No,No,No,Yes,68200000,46,High,,Yes,
Tadiran Telecom,https://www.tadirantele.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,Yes,Yes,370300000,3,Negative,,No,
Reliance Communications Pty,https://www.reliancecommunications.com.au/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,No,No,Yes,5800000,2,Negative,,No,
Lucidity Cloud Services,https://www.lucidity.co.nz/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,501-1000,No,No,No,No,No,Yes,10100000,0,Negative,,No,
BluIP,https://www.bluip.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,20800000,-3,Neutral,,No,
ITCenter,https://itcenter.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,Yes,No,No,4200000,48,Negative,,No,
CallFlow,https://callflowlab.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,Yes,No,No,5400000,-2,Neutral,,No,
Medallia,https://www.medallia.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,Yes,Yes,Yes,Yes,Yes,Yes,630200000,-2,Negative,,No,
Lottomerkury,https://lottomerkury.com.pl/contact-center/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,Yes,No,No,978000,15,Neutral,,No,
Foniva,https://www.foniva.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,Yes,No,No,No,No,No,4500000,-50,Neutral,,No,
Virtual Call Center,https://vcc.live/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,Yes,No,No,29900000,-17,Neutral,,No,
Nethesis,https://www.nethesis.it/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,Yes,No,No,4900000,2,Neutral,,No,
Axera,https://www.axera.it/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,No,No,No,Yes,No,No,6500000,16,Neutral,,No,
NXO,https://www.nxo.eu/,System Integrator,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Numbers and Voice,No,No,501-1000,No,No,No,Yes,No,No,581000,1,Neutral,,No,
Interface Security Systems,https://interfacesystems.com/,System Integrator,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Numbers and Voice,No,No,501-1000,Yes,No,No,No,No,No,244500000,8,Neutral,,No,
ContactUS Communications,https://cusc.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,4400000,33,Neutral,,No,
Anexinet,https://anexinet.com/,System Integrator,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,Yes,No,No,No,No,No,217700000,-3,Neutral,,No,
Foliateam,https://www.foliateam.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,No,No,No,Yes,No,No,28300000,-1,Neutral,,No,
VOIP Telecom,https://www.voip-telecom.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,201-500,No,No,No,Yes,No,No,9500000,4,Moderate,,No,
Altura Communication Solutions,https://www.alturacs.com/solutions/contact-center-solutions/,System Integrator,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,75800000,-1,Negative,,No,
Structured Communication Systems,https://structured.com/digital-infrastructure/unified-communications-and-collaboration/,System Integrator,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,83400000,5,Negative,,No,
Mutant,https://mutant.com.br/portfolio/plataformas-de-atendimento/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,1001-5000,No,Yes,No,No,No,No,475400000,0,Neutral,,No,
"Sound Incorporated
",https://www.soundinc.com/voice-data/,System Integrator,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,51-200,Yes,No,No,No,No,No,24400000,1,Negative,,No,
ALLOcloud,https://www.allocloud.com/,CCSPs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Numbers and Voice,No,No,0-50,No,No,No,Yes,No,No,4700000,7,High,,No,
